No,sentence,info__snippets,info__target,info_sentiment_score,info_aspects,preprocessed_sentence,numerical_info,encoded_values,sentiment_scores_for_numerical_encoded_values,trend,embedded_aspect,predicted_sentiment_probability_after_attention_mechanism
,,['Taylor Wimpey and Ashtead drive markets higher'],Tailor Wimpey,0.508,['Market/Market/Market Trend'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tailor Wimpey,[0.3787528  0.31921282 0.3020344 ]
242.0,GSK and Novartis complete deals to reshape both drugmakers,['complete deals to reshape both drugmakers'],Novartis,0.264,['Corporate/Strategy/Reorganization'],gsk novartis complete deal reshape drugmaker,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Novartis,[0.34465778 0.29908672 0.35625553]
244.0,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",['Life top forecasts ahead of 5.6 billion pound merger'],Friends Life,0.39,['Corporate/M&A/M&A'],aviva friend life forecast ahead 5.6 billion pound merger,"[{'value': 'billion', 'type': 'cardinal', 'aspect': 'pound', 'dependency_type': 'nummod'}]","tensor([[-36933544.,  61553836., -20764644.]], grad_fn=<CatBackward0>)",[[-36933544.  61553836. -20764644.]],,Friends Life,[0.30821624 0.38148126 0.3103025 ]
246.0,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,['to Sell OneMain to Springleaf for $4.25 Billion'],OneMain,0.283,['Corporate/M&A/M&A'],citigroup sell onemain springleaf $ 4.25 billion,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,OneMain,[0.3254133  0.36454707 0.31003964]
,,['to Sell OneMain to Springleaf for $4.25 Billion'],Springleaf,0.225,['Corporate/M&A/M&A'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Springleaf,[0.28644353 0.37778714 0.3357694 ]
247.0,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",['U.K. Stocks Resume Gains to Rally to Record;'],Tullow,0.544,['Stock/Price Action/Bullish/Bullish Behaviour'],u.k stock resume gain rally record crh tullow climb,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,gain Tullow,[0.28959966 0.40694588 0.30345455]
248.0,British American Tobacco drops and sues PwC over pollution scandal,['British American Tobacco drops'],PwC,-0.437,['Stock/Price Action/Bearish/Bearish Behaviour'],british american tobacco drop sue pwc pollution scandal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,drop PwC,[0.35574865 0.33698836 0.30726296]
252.0,UK's FTSE has worst day so far in 2015 as BG and Prudential fall,['UK's FTSE has worst day so far in 201'],Prudential,-0.651,['Market/Market/Market Trend'],uk ftse bad day far 2015 bg prudential fall,"[{'value': '2015', 'type': 'cardinal', 'aspect': 'prudential', 'dependency_type': 'nummod'}]","tensor([[-74.3137, 123.8880, -41.8777]], grad_fn=<CatBackward0>)",[[-74.31373  123.88804  -41.877747]],decrease,fall Prudential,[0.2768544  0.34819445 0.37495115]
253.0,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",['in Total Recall: how pulling a product affects profit'],Cadbury's,-0.158,['Corporate/Rumors/Scoop'],kraft cadbury britvic total recall pull product affect profit,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Cadbury's,[0.43377054 0.20706283 0.35916662]
,,['in Total Recall: how pulling a product affects profit'],Kraft,-0.179,['Corporate/Rumors/Scoop'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Kraft,[0.32626653 0.31982857 0.35390487]
257.0,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,['Merger Came Together in Speedy 10 Weeks'],Kraft,0.214,['Corporate/M&A/M&A'],kraft heinz merger come speedy 10 week,"[{'value': '10', 'type': 'cardinal', 'aspect': 'week', 'dependency_type': 'nummod'}]","tensor([[-0.2867,  0.4701, -0.2614]], grad_fn=<CatBackward0>)",[[-0.28672627  0.4701236  -0.26135424]],,Kraft,[0.394259   0.30624095 0.2995    ]
258.0,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,['Teams With Daiichi Sankyo To Sell Movantik In US'],Daiichi Sankyo,0.364,['Corporate/Sales/Partnership'],astrazeneca team daiichi sankyo sell movantik,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Daiichi Sankyo,[0.32143572 0.32903844 0.3495259 ]
,,['Teams With Daiichi Sankyo To Sell Movantik In US'],Movantik,0.369,['Corporate/Sales/Partnership'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Movantik,[0.4001028  0.25822833 0.34166884]
263.0,RBI surprises Street; Sensex pares gains after hitting mount 30k,['Sensex pares gains'],Sensex,-0.216,['Stock/Price Action'],rbi surprises street sensex pare gain hit mount 30k,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,gain Sensex,[0.30451208 0.32919312 0.3662948 ]
264.0,Credit Suisse poaches Prudential's Thiam for Asian push,['poaches Prudential's Thiam for Asian push'],Credit Suisse,0.125,['Corporate/Strategy'],credit suisse poache prudential thiam asian push,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Credit Suisse,[0.2843889  0.3419453  0.37366584]
,,['poaches Prudential's Thiam for Asian push'],Prudential,-0.031,['Corporate/Strategy'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Prudential,[0.33938894 0.2886038  0.37200725]
266.0,Kingfisher takeover of Mr Bricolage could hit a brick wall,['Kingfisher takeover of Mr Bricolage could hit a brick wall'],Mr Bricolage,-0.311,['Corporate/M&A/Proposed Merger'],kingfisher takeover mr bricolage hit brick wall,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Mr Bricolage,[0.38027787 0.2829943  0.33672786]
270.0,"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall","['Barclays, Shell Fall']",Shell,-0.508,['Stock/Price Action/Bearish/Bearish Behaviour'],u.k stock little change near record barclay shell fall,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Shell,[0.3598825  0.28594685 0.35417065]
274.0,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,['Admiral blows hot and cold'],Friends Life,0.053,['Stock/Price Action/Volatility/Stock Volatility'],insurer admiral blow hot cold aviva soar pre friends life merger,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,soar Friends Life,[0.36428595 0.28551838 0.35019568]
275.0,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,['AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK'],Daiichi Sankyo,0.361,['Corporate/Sales/Partnership'],astrazeneca daiichi sankyo jointly commercialise movantik,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Daiichi Sankyo,[0.30472648 0.3806978  0.31457573]
,,['AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK'],MOVANTIK,0.454,['Corporate/Sales/Partnership'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,MOVANTIK,[0.25417548 0.3502671  0.3955574 ]
279.0,Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,['Legal & General arm buys 50 pct stake in MediaCityUK'],MediaCityUK,0.379,['Stock/Signal/Buy Signal'],legal general arm buy 50 pct stake mediacityuk manchester,"[{'value': '50', 'type': 'cardinal', 'aspect': 'stake', 'dependency_type': 'nummod'}]","tensor([[-1.7565,  2.9354, -1.0804]], grad_fn=<CatBackward0>)",[[-1.7564672  2.9353569 -1.0804299]],,MediaCityUK,[0.35553727 0.3247534  0.31970936]
281.0,Randgold profit hit by poor gold price but dividend still increases,['dividend still increases'],Rangold,-0.052,['Corporate/Dividend Policy'],randgold profit hit poor gold price dividend increase,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,increase Rangold,[0.28297645 0.44546252 0.2715611 ]
290.0,"CompaniesTravis Perkins lifts dividend, earnings rise 15%","['lifts dividend,']",Travis Perkins,0.494,['Corporate/Dividend Policy'],companiestravis perkin lift dividend earning rise 15,"[{'value': '15', 'type': 'cardinal', 'aspect': 'dividend', 'dependency_type': 'nummod'}]","tensor([[-0.4746,  0.7814, -0.3570]], grad_fn=<CatBackward0>)",[[-0.47462818  0.7813525  -0.3569541 ]],increase,rise Travis Perkins,[0.3364526  0.3114816  0.35206577]
293.0,Market Report: Aviva tops the market as traders approve of its choice of Friends,['Aviva tops the market'],Friends,0.443,['Market/Market/Market Trend'],market report aviva top market trader approve choice friend,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Friends,[0.3215792  0.32746726 0.35095355]
296.0,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,['picks Standard Bank's Hemphill as new CEO'],Standard Bank,0.025,['Corporate/Appointment/Executive Appointment'],insurer old mutual pick standard bank hemphill new ceo,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Standard Bank,[0.4366777  0.2956798  0.26764247]
302.0,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",['backs safety updates for AstraZenec'],AstraZeneca,0.143,['Corporate/Regulatory'],fda panel back safety update astrazeneca takeda drug,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.32265007 0.3024898  0.3748602 ]
,,"['FDA panel backs safety updates for AstraZeneca,']",Takeda,-0.198,['Corporate/Regulatory'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Takeda,[0.30623913 0.42419088 0.26956996]
304.0,CompaniesDiageo stays neutral on India boardroom turmoil,['India boardroom turmoil'],Diageo,0.0,['Corporate/Risks'],companiesdiageo stay neutral india boardroom turmoil,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Diageo,[0.36498594 0.3338792  0.30113488]
315.0,Germanwings disaster will not affect image of budget air travel - easyJet,['will not affect image of'],Germanwings,-0.046,['Corporate/Reputation'],germanwing disaster affect image budget air travel easyjet,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Germanwings,[0.3505424  0.29232824 0.35712934]
,,['will not affect image of budget air trave'],easyJet,0.096,['Corporate/Reputation'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,easyJet,[0.31931558 0.30522722 0.37545723]
318.0,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,['Deal Meets Shareholder Skepticism'],Shell,-0.345,['Corporate/Rumors/Rumors'],shell $ 70 billion bg deal meet shareholder skepticism,"[{'value': '70', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'deal', 'dependency_type': 'nummod'}]","tensor([[-2.4889e+00,  4.1662e+00, -1.4938e+00, -3.6934e+07,  6.1554e+07,
         -2.0765e+07]], grad_fn=<CatBackward0>)","[[-2.4889472e+00  4.1662164e+00 -1.4938446e+00 -3.6933544e+07
   6.1553836e+07 -2.0764644e+07]]",,Shell,[0.3277327  0.32300553 0.34926176]
321.0,Shell offers 50 percent premium to buy BG for $70 billion,['offers 50 percent premium to buy'],Shell,0.193,['Corporate/M&A/M&A'],shell offer 50 percent premium buy bg $ 70 billion,"[{'value': '50', 'type': 'percentage', 'aspect': 'percent', 'dependency_type': 'nummod'}, {'value': '70', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}]","tensor([[-2.4889,  4.1662, -1.4938]], grad_fn=<CatBackward0>)",[[-2.4889472  4.1662164 -1.4938446]],,Shell,[0.37807328 0.31392384 0.30800295]
324.0,WPP boosts sales despite cautious clients,['boosts sales'],WPP,0.251,['Corporate/Sales'],wpp boost sale despite cautious client,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,boost WPP,[0.37424996 0.28854066 0.33720934]
335.0,Shell to buy BG Group in $69.7 billion takeover,['buy BG Group in $69.7 billion takeover'],Shell,0.25,['Corporate/M&A/M&A'],shell buy bg group $ 69.7 billion takeover,"[{'value': 'billion', 'type': 'cardinal', 'aspect': 'takeover', 'dependency_type': 'nummod'}]","tensor([[-36933544.,  61553836., -20764644.]], grad_fn=<CatBackward0>)",[[-36933544.  61553836. -20764644.]],,Shell,[0.26285544 0.30323428 0.43391028]
336.0,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,['Shares Rise'],Standard Chartered,0.556,['Stock/Price Action/Bullish/Bullish Behaviour'],london morning briefing hsbc standard charter share rise,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise Standard Chartered,[0.28430846 0.3936462  0.32204536]
342.0,UPDATE 1-BP shareholders back more disclosure on climate change risks,['shareholders back more disclosure on climate change risks'],BP,0.037,['Corporate/Risks'],update 1 bp shareholder disclosure climate change risk,"[{'value': '1', 'type': 'cardinal', 'aspect': 'risk', 'dependency_type': 'nummod'}]","tensor([[ 0.0584, -0.0858, -0.0869]], grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651]],,BP,[0.32946303 0.32578188 0.34475514]
345.0,Shell challenges Exxon dominance with 47 billion-pound bid for BG,['challenges Exxon dominance with 47 billion-pound bid for BG'],Exxon,-0.196,['Corporate/Strategy/Corporate Expansion'],shell challenge exxon dominance 47 billion pound bid bg,"[{'value': '47', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'pound', 'dependency_type': 'nummod'}]","tensor([[-1.6466e+00,  2.7507e+00, -1.0184e+00, -3.6934e+07,  6.1554e+07,
         -2.0765e+07]], grad_fn=<CatBackward0>)","[[-1.6465955e+00  2.7507277e+00 -1.0184176e+00 -3.6933544e+07
   6.1553836e+07 -2.0764644e+07]]",,Exxon,[0.3658029 0.4005468 0.2336503]
,,['challenges Exxon dominance with 47 billion-pound bid for BG'],Shell,0.078,['Corporate/Strategy/Corporate Expansion'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shell,[0.2925767  0.41680983 0.29061347]
347.0,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,['Royal Dutch Shell to Buy BG Group for Nearly $70 Billion'],Royal Dutch Shell,0.259,['Corporate/M&A/M&A'],royal dutch shell buy bg group nearly $ 70 billion,"[{'value': '70', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}]","tensor([[-2.4889,  4.1662, -1.4938]], grad_fn=<CatBackward0>)",[[-2.4889472  4.1662164 -1.4938446]],,Royal Dutch Shell,[0.31048268 0.32890725 0.36061004]
349.0,City spirits sink after Diageo comes up short with sales slide,['omes up short with sales slide'],Diageo,-0.521,['Corporate/Sales'],city spirit sink diageo come short sale slide,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Diageo,[0.37201953 0.2710651  0.3569154 ]
358.0,Diageo receives reports from United Spirits on financial irregularities involving ...,['United Spirits on financial irregularitie'],Diageo,-0.255,['Corporate/Reputation'],diageo receive report united spirit financial irregularity involve,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Diageo,[0.25461397 0.4158872  0.3294988 ]
,,['on financial irregularities involving ..'],United Spirits,-0.272,['Corporate/Reputation/Scoop'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,United Spirits,[0.30074418 0.35122126 0.34803453]
361.0,Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,['Wins $9.2 Billion Order From Emirates Airline'],Rolls-Royce,0.777,['Corporate/Sales/Deal'],roll royce win $ 9.2 billion order emirate airline,"[{'value': 'billion', 'type': 'cardinal', 'aspect': 'emirate', 'dependency_type': 'nummod'}]","tensor([[-36933544.,  61553836., -20764644.]], grad_fn=<CatBackward0>)",[[-36933544.  61553836. -20764644.]],,Rolls-Royce,[0.41576764 0.28941277 0.2948196 ]
372.0,Tesco sales rise shows tentative recovery continues,['sales rise'],Tesco,0.256,['Corporate/Sales'],tesco sale rise show tentative recovery continue,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise Tesco,[0.3092398  0.3733519  0.31740826]
374.0,Diageo sales disappoint as currency and comparatives leave bitter taste,['sales disappoint'],Diageo,-0.545,['Corporate/Sales'],diageo sale disappoint currency comparative leave bitter taste,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Diageo,[0.36915162 0.31195706 0.31889132]
381.0,AstraZeneca profit down as sales of stalwarts fade,['as sales of stalwarts fade'],AstraZeneca,-0.405,['Corporate/Sales'],astrazeneca profit sale stalwart fade,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fade AstraZeneca,[0.27220875 0.40686637 0.32092485]
382.0,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",['Profit Up As Sales Continue To Ris'],Whitbread,0.385,['Corporate/Sales'],whitbread profit sale continue rise look new ceo,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise Whitbread,[0.34828338 0.28883457 0.36288205]
391.0,Glencore blames rivals for creating metals glut,['blames rivals'],Glencore,-0.331,['Corporate/Risks'],glencore blame rival create metal glut,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Glencore,[0.40323657 0.2944105  0.30235296]
394.0,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,['$6 bln capital return plan'],GlaxoSmithKline,-0.221,['Corporate/Dividend Policy'],doubt grow glaxosmithkline $ 6 bln capital return plan,"[{'value': '6', 'type': 'cardinal', 'aspect': 'plan', 'dependency_type': 'nummod'}]","tensor([[-0.1363,  0.2211, -0.1850]], grad_fn=<CatBackward0>)",[[-0.13633153  0.22108659 -0.18499303]],,GlaxoSmithKline,[0.37312877 0.34705234 0.27981892]
395.0,easyJet leads Britain's FTSE lower as global bond rout resumes,['leads Britain's FTSE lower'],easyJet,-0.495,['Market/Volatility'],easyjet lead britain ftse low global bond rout resume,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,low easyJet,[0.3187067  0.32266214 0.3586312 ]
398.0,Imperial Tobacco Adds Quarterly Dividends After Profit Rose,['Quarterly Dividends'],Imperial Tobacco,0.336,['Corporate/Dividend Policy'],imperial tobacco add quarterly dividend profit rise,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise Imperial Tobacco,[0.42500344 0.20019719 0.3747994 ]
401.0,BG Group Still Happy With Shell's $70 Billion Offer,['BG Group Still Happy With Shell's $70 Billion Offer'],Shell,0.235,['Corporate/M&A/Proposed Merger'],bg group happy shell $ 70 billion offer,"[{'value': '70', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'offer', 'dependency_type': 'nummod'}]","tensor([[-2.4889e+00,  4.1662e+00, -1.4938e+00, -3.6934e+07,  6.1554e+07,
         -2.0765e+07]], grad_fn=<CatBackward0>)","[[-2.4889472e+00  4.1662164e+00 -1.4938446e+00 -3.6933544e+07
   6.1553836e+07 -2.0764644e+07]]",,Shell,[0.33685848 0.41625288 0.2468886 ]
402.0,SABMiller buys Meantime to quench thirst for craft beer,['buys Meantime'],SABMiller,0.296,['Corporate/M&A/Proposed Merger'],sabmiller buy meantime quench thirst craft beer,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SABMiller,[0.37666538 0.3436001  0.27973452]
405.0,Aviva shuts Friends Life head office in rapid integration move,['shuts Friends Life head office in rapid integration move'],Friends Life,-0.09,['Corporate/Strategy/Corporate Expansion'],aviva shut friends life head office rapid integration,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Friends Life,[0.34891325 0.3569622  0.29412457]
409.0,Retailers Kingfisher and Sports Direct rise in Britain's share index,['rise in Britain's share index'],Sports Direct,0.459,['Stock/Technical Analysis/Trend/Trending up'],retailer kingfisher sport direct rise britain share index,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise Sports Direct,[0.3187268  0.3090513  0.37222195]
412.0,"GlaxoSmithKline targets growth across units, scraps ViiV IPO",['scraps ViiV IPO'],GlaxoSmithKline,0.229,['Stock/IPO'],glaxosmithkline target growth unit scrap viiv ipo,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,GlaxoSmithKline,[0.2987236  0.35549757 0.34577876]
413.0,Tesco share price closes higher as two more directors leave grocer,['share price closes higher'],Tesco,0.354,['Stock/Price Action'],tesco share price close high two director leave grocer,"[{'value': 'two', 'type': 'cardinal', 'aspect': 'director', 'dependency_type': 'nummod'}]","tensor([[ 0.0141, -0.0280, -0.1086]], grad_fn=<CatBackward0>)",[[ 0.01406322 -0.02795044 -0.10863185]],increase,high Tesco,[0.32410067 0.3656409  0.31025842]
415.0,Tesco leads FTSE higher on Clubcard bid reports,['Clubcard bid reports'],Tesco,0.453,['Corporate/Rumors'],tesco lead ftse higher clubcard bid report,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.31425107 0.32682586 0.3589231 ]
417.0,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,['Has Broken Out To A New High'],Eli Lilly & Co,0.516,['Stock/Technical Analysis/Volume/Unusually high volume'],eli lilly co. lly break new high astrazeneca collaboration,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,high Eli Lilly & Co,[0.3611938  0.29441425 0.34439194]
422.0,"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",['gross sales beat'],Old Mutual,0.724,['Corporate/Sales'],rpt old mutual q1 gross sale beat forecast 18 pct,"[{'value': '18', 'type': 'cardinal', 'aspect': 'pct', 'dependency_type': 'nummod'}]","tensor([[-0.5845,  0.9660, -0.4190]], grad_fn=<CatBackward0>)",[[-0.5845002  0.9659815 -0.4189663]],,Old Mutual,[0.29247522 0.34207818 0.3654466 ]
427.0,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",['settles oil spill-related claims'],BP,-0.121,['Corporate/Legal/Settlement'],update 3 bp settle oil spill relate claim halliburton transocean,"[{'value': '3', 'type': 'cardinal', 'aspect': 'relate', 'dependency_type': 'nummod'}]","tensor([[-0.0235,  0.0343, -0.1277]], grad_fn=<CatBackward0>)",[[-0.02353548  0.03430881 -0.12772216]],,BP,[0.29152983 0.33778006 0.3706901 ]
,,['settles oil spill-related claims with'],Halliburton,-0.042,['Corporate/Legal/Settlement'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Halliburton,[0.39033687 0.30142686 0.30823627]
429.0,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,['share price'],GlaxoSmithKline,-0.408,['Stock/Price Action'],glaxosmithkline share price slip fda okay asthma therapy adult,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,GlaxoSmithKline,[0.31701595 0.39113244 0.2918517 ]
430.0,Glencore chief blames rivals' overproduction for share price fall,['share price fall'],Glencore,-0.301,['Stock/Price Action'],glencore chief blame rival overproduction share price fall,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Glencore,[0.42018446 0.25126588 0.32854962]
435.0,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",['Sue Over Law Taking Branding Off Packs'],BAT,-0.152,['Corporate/Legal/Lawsuit'],philip morris bat sue law take brand pack,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,BAT,[0.36682248 0.33331752 0.29986003]
,,['BAT Sue Over Law Taking Branding Off Packs'],Philip Morris,-0.152,['Corporate/Legal/Lawsuit'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Philip Morris,[0.3442014  0.40951675 0.24628189]
440.0,Hargreaves Lansdown share price falls as costs mount - although pensions ...,['share price falls'],Hargreaves Lansdown,-0.514,['Stock/Price Action'],hargreave lansdown share price fall cost mount pension,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Hargreaves Lansdown,[0.3317803  0.31140876 0.35681093]
444.0,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","['Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT']",Centrica,0.195,['Corporate/Appointment'],press serco set appoint roy gardner ex centrica chairman ft,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Centrica,[0.30039176 0.32107484 0.37853342]
,,"['Set To Appoint Roy Gardner, Ex-Centrica, As Chairman']",Serco,0.122,['Corporate/Appointment/Executive Appointment'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Serco,[0.34693566 0.39063776 0.2624266 ]
449.0,UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,['Semiconductor offers to buy Integrated Silicon Solution'],Integrated Silicon Solution,0.461,['Stock/Signal/Buy Signal'],update 1 cypress semiconductor offer buy integrate silicon solution,"[{'value': '1', 'type': 'cardinal', 'aspect': 'cypress', 'dependency_type': 'nummod'}]","tensor([[ 0.0584, -0.0858, -0.0869]], grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651]],,Integrated Silicon Solution,[0.37373403 0.36092004 0.26534593]
454.0,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",['RBS must pay $806 mln in mortgage bond case-'],RBS,-0.69,['Corporate/Legal/Settlement'],update 1 nomura rbs pay $ 806 mln mortgage bond case judge,"[{'value': '1', 'type': 'cardinal', 'aspect': 'nomura', 'dependency_type': 'nummod'}, {'value': '806', 'type': 'cardinal', 'aspect': 'case', 'dependency_type': 'nummod'}]","tensor([[  0.0584,  -0.0858,  -0.0869, -29.6611,  49.4695, -16.7733]],
       grad_fn=<CatBackward0>)","[[  0.05843232  -0.08583678  -0.08687651 -29.661076    49.469456
  -16.773298  ]]",,RBS,[0.29791287 0.41610333 0.2859839 ]
459.0,MillerCoors Board Names Gavin Hattersley Interim CEO,['Board Names Gavin Hattersley Interim CEO'],MillerCoors,0.0,['Corporate/Appointment'],millercoor board name gavin hattersley interim ceo,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,MillerCoors,[0.33138132 0.32586393 0.34275475]
461.0,"Britain's FTSE gains, Land Securities up after dividend hike",['after dividend hike'],Land Securities,0.549,['Corporate/Dividend Policy'],britain ftse gain land security dividend hike,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,gain Land Securities,[0.29571703 0.40058738 0.30369562]
466.0,"Britain's FTSE bounces back, Mondi and Barratt lead",['Mondi and Barratt lead'],Barratt,0.558,['Stock/Price Action'],britain ftse bounce mondi barratt lead,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Barratt,[0.3823268  0.3705188  0.24715441]
,,['Britain's FTSE bounces back'],Mondi,0.552,['Stock/Price Action'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Mondi,[0.30012858 0.3896928  0.31017855]
470.0,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,['Sales Up 18%'],Old Mutual,0.689,['Corporate/Sales'],old mutual first quarter sale 18 buoy emerge market,"[{'value': 'first', 'type': 'date', 'aspect': 'quarter', 'dependency_type': 'amod'}, {'value': '18', 'type': 'cardinal', 'aspect': 'market', 'dependency_type': 'nummod'}]","tensor([[-0.5845,  0.9660, -0.4190]], grad_fn=<CatBackward0>)",[[-0.5845002  0.9659815 -0.4189663]],,Old Mutual,[0.35397166 0.32952324 0.3165051 ]
473.0,Do it for me' trend underpins UK sales growth at Kingfisher,['UK sales growth'],Kingfisher,0.304,['Corporate/Sales'],trend underpin uk sale growth kingfisher,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Kingfisher,[0.27097306 0.35455507 0.3744719 ]
476.0,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",['Aldi and Lidl expansion'],Lidl,0.372,['Corporate/Strategy/Corporate Expansion'],aldi lidl expansion plan speed ahead tesco sainsbury morrison,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Lidl,[0.36175674 0.3096199  0.3286233 ]
